"","medal","beer_name","brewery","city","state","category","year"
"263","Gold","Quad Damn It","Chicago Brewing Co. - Las Vegas","Las Vegas","NV","Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel",2019
"264","Silver","SC3=A9r=C3=A9net=C3=A9 Grand Cru","Bruz Beers","Denver","CO","Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel",2019
"265","Bronze","Sisters Quad","Bitter Sisters Brewing Co.","Addison","TX","Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel",2019
"266","Bronze","OB Bubble Dubbel","Kilowatt Brewing","San Diego","CA","Belgian-Style Dubbel",2019
"267","Gold","Foxy Lady","Silver City Brewery","Bremerton","WA","Belgian-Style Fruit Beer",2019
"268","Silver","All the Goodness","Gezellig Brewing Co.","Newton","IA","Belgian-Style Fruit Beer",2019
"269","Bronze","Cherry Valley Farmhouse","Heritage Hill Brewhouse & Kitchen","Pompey","NY","Belgian-Style Fruit Beer",2019
"270","Gold","Get The Funk Out","Crooked Stave Artisan Beer Project","Denver","CO","Belgian-Style Lambic or Sour Ale",2019
"271","Silver","Olly","Free Will Brewing Co.","Perkasie","PA","Belgian-Style Lambic or Sour Ale",2019
"272","Bronze","Saison ApothC4=93ca<=/","Yeast of Eden","Carmel-By-The-Sea","CA","Belgian-Style Lambic or Sour Ale",2019
"273","Gold","Fu Fighter","Good River Beer","Denver","CO","Belgian-Style Pale Strong Ale",2019
"274","Silver","Sandy Dunes Saison","River Bluff Brewing","St. Joseph","MO","Belgian-Style Pale Strong Ale",2019
"275","Bronze","Stay Gold","Bluebird Brasserie","Sherman Oaks","CA","Belgian-Style Pale Strong Ale",2019
"276","Gold","Princeps Pacis","Save The World Brewing Co.","Marble Falls","TX","Belgian-Style Tripel",2019
"277","Silver","Marvella","Red Rock Brewery - Production","Salt Lake City","UT","Belgian-Style Tripel",2019
"278","Bronze","Triple-Whirl","217 Brew Works","Wilson","NC","Belgian-Style Tripel",2019
"279","Gold","Way West Wit","Zuni Street Brewing Co.","Denver","CO","Belgian-Style Witbier",2019
"280","Silver","Boeman Belgian White","Ogopogo Brewing","San Gabriel","CA","Belgian-Style Witbier",2019
"281","Bronze","Under a Blood Orange Sky","Temblor Brewing Co.","Bakersfield","CA","Belgian-Style Witbier",2019
"282","Silver","Maibock","Dry Dock Brewing Co. - South Dock","Aurora","CO","Bock",2019
"283","Bronze","Dunkel Bock","Pilot Brewing Co.","Charlotte","NC","Bock",2019
"284","Gold","Bohemian Shine","Castle Island Brewing Co.","Norwood","MA","Bohemian-Style Pilsener",2019
"285","Silver","Bo Pils","East Brother Beer Co.","Richmond","CA","Bohemian-Style Pilsener",2019
"286","Silver","St. Eldritch","Cellar Works Brewing Co.","Sarver","PA","Brett Beer",2019
"287","Bronze","C'Mon Sunshine","Birds Fly South Ale Project","Greenville","SC","Brett Beer",2019
"288","Gold","Maduro Brown Ale","Cigar City Brewing","Tampa","FL","Brown Porter",2019
"289","Silver","Brown Claw","Kern River Brewing Co. - The Backyard","Kernville","CA","Brown Porter",2019
"290","Bronze","Honey Porter","Cape May Brewing Co. - Rio Grande","Cape May","NJ","Brown Porter",2019
"291","Gold","Jalapeno Pineapple Pils","Brickway Brewery & Distillery","Omaha","NE","Chili Beer",2019
"292","Silver","Bringin' Da Heat","Devil's Creek Brewery","Collingswood","NJ","Chili Beer",2019
"293","Bronze","Oyster Jalapeno Porter","Bull Island Brewing Co.","Hampton","VA","Chili Beer",2019
"294","Gold","Old Balltown Bulleit Bourbon Barrel Aged Salted Caramel Dark Chocolate Brownie Milk Stout","PIVO Brewery","Calmar","IA","Chocolate Beer",2019
"295","Silver","**Contains Chocolate**","Corporate Ladder Brewing Co.","Palmetto","FL","Chocolate Beer",2019
"296","Gold","SeaSide Stout","Pizza Port - Solana Beach","Solana Beach","CA","Classic Irish-Style Dry Stout",2019
"297","Silver","Shooter McMunn's","Lost Rhino Brewing Co.","Ashburn","VA","Classic Irish-Style Dry Stout",2019
"298","Bronze","O'Dark Thirty","6 Bears & A Goat Brewing Co.","Fredericksburg","VA","Classic Irish-Style Dry Stout",2019
"299","Gold","Meadowlark","Metazoa Brewing Co.","Indianapolis","IN","Classic Saison",2019
"300","Bronze","Gray Matter","Aspetuck Brew Lab","Bridgeport","CT","Classic Saison",2019
"301","Gold","Duluth Coffee Pale Ale","Earth Rider Brewery","Superior","WI","Coffee Beer",2019
"302","Silver","Clear Sky Daybreak","Wolf's Ridge Brewing","Columbus","OH","Coffee Beer",2019
"303","Gold","There is No Cow Level","GameCraft Brewing","Laguna Hills","CA","Coffee Stout or Porter",2019
"304","Silver","Portola Breakfast Stout","Tustin Brewing Co.","Tustin","CA","Coffee Stout or Porter",2019
"305","Bronze","White Russian","SunUp Brewing Co.","Phoenix","AZ","Coffee Stout or Porter",2019
"306","Silver","Are You Pricklish?","TaftE2=80=99s Brewing Co.","Louisville","KY","Collab",2019
"307","Bronze","Willie Big Dog","Public Coast Brewing Company","Canon Beach","OR","Collab",2019
"308","Gold","Lazy River Pils","New Trail Brewing Co.","Williamsport","PA","Contemporary American-Style Pilsener",2019
"309","Silver","Citra Pils","Saint Archer Brewing Co.","San Diego","CA","Contemporary American-Style Pilsener",2019
"310","Silver","Mimosa Gose","Pilot Brewing Co.","Charlotte","NC","Contemporary Gose",2019
"311","Bronze","Galactic Minotaurt","True Vine Brewing Co.","Tyler","TX","Contemporary Gose",2019
"312","Gold","Schnitzengiggles","New England Brewing Co.","Woodbridge","CT","Dortmunder or German-Style Oktoberfest",2019
"313","Bronze","Chuckanut Fest Bier","Chuckanut Brewery - South Nut","Burlington","WA","Dortmunder or German-Style Oktoberfest",2019
"314","Gold","Station 101","Claremont Craft Ales","Claremont","CA","Double Hoppy Red Ale",2019
"315","Silver","Side Hike","Kern River Brewing Co.","Kernville","CA","Double Hoppy Red Ale",2019
"316","Bronze","Cannon Ball","Migration Brewing Co. - Glisan","Portland","OR","Double Hoppy Red Ale",2019
"317","Gold","Pure Tropics","Parish Brewing Co.","Broussard","LA","Emerging India Pale Ale",2019
"318","Silver","Vladimir Brutin","Cannonball Creek Brewing Co.","Golden","CO","Emerging India Pale Ale",2019
"319","Gold","Bobcat Brown Ale","Bridger Brewing","Bozeman","MT","English-Style Brown Ale",2019
"320","Silver","Eclipse Brown Ale","Equinox Brewing","Fort Collins","CO","English-Style Brown Ale",2019
"321","Bronze","Mischievous Brown","Helltown Brewing","Export","PA","English-Style Brown Ale",2019
"322","Bronze","Hoppy Poppy","Figueroa Mountain Brewing Co. - Santa Barbara","Santa Barbara","CA","English-Style India Pale Ale",2019
"323","Gold","Hold The Reins","Brink Brewing Co.","Cincinnati","OH","English-Style Mild Ale",2019
"324","Bronze","Saddle Bronc Brown","Black Tooth Brewing Co.","Sheridan","WY","English-Style Mild Ale",2019
"325","Gold","Ferment Pale Ale","Ferment Brewing Co.","Hood River","OR","English-Style or International-Style Pale Ale",2019
"326","Silver","Annadel Pale Ale","Third Street AleWorks","Santa Rosa","CA","English-Style or International-Style Pale Ale",2019
"327","Bronze","Endless Summer Nights","Cloudburst Brewing","Seattle","WA","English-Style or International-Style Pale Ale",2019
"328","Gold","Organic California Blonde Ale","Eel River Brewing Co.","Scotia","CA","English-Style Summer Ale",2019
"329","Silver","Quid","Rhinegeist - Innovation Brewery","Cincinnati","OH","English-Style Summer Ale",2019
"330","Bronze","Breakside Wentworth by the Sea","Breakside Brewery","Portland","OR","English-Style Summer Ale",2019
"331","Gold","Fungus Shui","Meadowlark Brewing","Sidney","MT","Experimental Beer",2019
"332","Silver","Shibbleshabble","Primitive Beer","Longmont","CO","Experimental Beer",2019
"333","Bronze","Fluffernutter","Kings Brewing Co.","Rancho Cucamonga","CA","Experimental Beer",2019
"334","Gold","Correspondent","Wander Brewing","Bellingham","WA","Export Stout",2019
"335","Silver","Thor's Shadow Imperial Stout","Odin Brewing Co.","Tukwila","WA","Export Stout",2019
"336","Bronze","Void of Light","Gun Hill Brewing Co.","Bronx","NY","Export Stout",2019
"337","Gold","ESB","Hillman Beer","Asheville","NC","Extra Special Bitter",2019
"338","Silver","Bridgeview","Henderson Brewing Co.","Henderson","KY","Extra Special Bitter",2019
"339","Bronze","Red Ale","The Vanguard Brewpub & Distillery","Hampton","VA","Extra Special Bitter",2019
"340","Gold","Scoring Discrepancies","Listermann Brewing Co.","Cincinnati","OH","Field Beer",2019
"341","Silver","Dessert Station: Cherry Almond Cookie","Corporate Ladder Brewing Co.","Palmetto","FL","Field Beer",2019
"342","Bronze","Grandma's Pecan","The Dudes' Brewing Co.","Torrance","CA","Field Beer",2019
"343","Gold","Fresh Hop Green Battles","Pinthouse Pizza North","Austin","TX","Fresh Hop Beer",2019
"344","Silver","Hop Stalker","Fat Head's Brewery - Canton","Canton","OH","Fresh Hop Beer",2019
"345","Gold","Bitchin' Berry","Great Basin Brewing Co. - Production Facility","Reno","NV","Fruit Wheat Beer",2019
"346","Silver","Cherry Wheat","Sierra Blanca Brewing Co.","Moriarty","NM","Fruit Wheat Beer",2019
"347","Bronze","Smash","10 Barrel Brewing Co.","Bend","OR","Fruit Wheat Beer",2019
"348","Silver","Hoochie Mama","Storm Peak Brewing Co.","Steamboat Springs","CO","Fruited American-Style Sour Ale",2019
"349","Bronze","Sour Blackberry Raspberry","EdmundE2=80=99s Oast Brewing Co.","Charleston","SC","Fruited American-Style Sour Ale",2019
"350","Gold","Midnight Choir","Sun King Brewing","Indianapolis","IN","Fruited Wood- and Barrel-Aged Sour Beer",2019
"351","Bronze","Rossano","Kings Brewing Co.","Rancho Cucamonga","CA","Fruited Wood- and Barrel-Aged Sour Beer",2019
"352","Silver","Howitzer Amber","Red Leg Brewing Co.","Colorado Springs","CO","German-Style Altbier",2019
"353","Bronze","Jeremy Altbier","The Royal Oak Brewery","Royal Oak","MI","German-Style Altbier",2019
"354","Silver","Black Lager","Bingo Beer Co.","Richmond","VA","German-Style Dark Lager",2019
"355","Bronze","Don't Drop That Dun Dun Dunkel","TAPS Brewery &amp; Barrel Room","Tustin","CA","German-Style Dark Lager",2019
"356","Gold","Eis Nine","Sun King Brewing - Fishers Small Batch","Fishers","IN","German-Style Doppelbock or Eisbock",2019
"357","Silver","Doppelbock","Scorched Earth Brewing Co.","Algonquin","IL","German-Style Doppelbock or Eisbock",2019
"358","Bronze","Eis Vienne","Devils Backbone Brewing Co. - Basecamp","Roseland","VA","German-Style Doppelbock or Eisbock",2019
"359","Gold","Altstadt Kolsch","Altstadt Brewery","Fredericksburg","TX","German-Style Koelsch",2019
"360","Silver","Ice Cutter KC3=B6lsch","Joyride Brewing Co.","Edgewater","CO","German-Style Koelsch",2019
"361","Bronze","Dry Creek Blonde Ale","Santa Clara Valley Brewing","San Jose","CA","German-Style Koelsch",2019
"362","Gold","Oktoberfest","Bear Chase Brewing Co.","Bluemont","VA","German-Style Maerzen",2019
"363","Silver","Rocktoberfest","Hutton & Smith Brewing Co.","Chattanooga","TN","German-Style Maerzen",2019
"364","Bronze","Festie","Starr Hill Pilot Brewery &amp; Side Stage","Roanoke","VA","German-Style Maerzen",2019
"365","Gold","Parliament Drive","Blind Owl Brewery","Indianapolis","IN","German-Style Pilsener",2019
"366","Silver","Golden Age Pilsner","Family Business Beer Co.","Dripping Springs","TX","German-Style Pilsener",2019
"367","Bronze","Pils","Hardywood West Creek","Richmond","VA","German-Style Pilsener",2019
"368","Gold","Meier","Rowley Farmhouse Ales","Santa Fe","NM","German-Style Sour Ale",2019
"369","Bronze","And the Award Gose to...","Big Dog's Brewing Co.","Las Vegas","NV","German-Style Sour Ale",2019
"370","Gold","Krystal Clear","TAPS Brewery & Barrel Room","Tustin","CA","German-Style Wheat Ale",2019
"371","Silver","Dunkelweisse","Swashbuckler Brewing Co.","Manheim","PA","German-Style Wheat Ale",2019
"372","Bronze","HefeWeizen","Live Oak Brewing Co.","Austin","TX","German-Style Wheat Ale",2019
"373","Gold","Boombastic Hazy IPA","Holidaily Brewing Co.","Golden","CO","Gluten-Free Beer",2019
"374","Silver","Co-Conspirator Apricot Sour","Revelation Craft Brewing Co.","Rehoboth Beach","DE","Gluten-Free Beer",2019
"375","Bronze","Grandpa's Nap","Evasion Brewing - Production Facility","McMinnville","OR","Gluten-Free Beer",2019
"376","Gold","1956 Golden Ale","Bootstrap Brewing","Longmont","CO","Golden or Blonde Ale",2019
"377","Silver","MadeWest Standard","MadeWest Brewing Co.","Ventura","CA","Golden or Blonde Ale",2019
"378","Bronze","Luke's Original","Lucky Luke Brewing Co.","Palmdale","CA","Golden or Blonde Ale",2019
"379","Gold","Kveik Thai Tom Kha","Shades Brewing","Park City","UT","Herb and Spice Beer",2019
"380","Silver","One Night in Bangkok Smoothie IPA","Midland Brewing Co.","Midland","MI","Herb and Spice Beer",2019
"381","Bronze","Decorah Nordic Gruit","PIVO Brewery","Calmar","IA","Historical Beer",2019
"382","Gold","A&M Honey Bock","BJ's Restaurant & Brewery - Boulder","Boulder","CO","Honey Beer",2019
"383","Silver","Honey Hole","SpindleTap Brewery","Houston","TX","Honey Beer",2019
"384","Bronze","Jetty","Great South Bay Brewery","Bay Shore","NY","Honey Beer",2019
"385","Gold","Double Cone","Alvarado Street Brewery","Salinas","CA","Imperial India Pale Ale",2019
"386","Silver","Westbound Double IPA","Westbound & Down Brewing Co.","Idaho Springs","CO","Imperial India Pale Ale",2019
"387","Bronze","Sharrow","Brew Hub","Lakeland","FL","Imperial India Pale Ale",2019
"388","Gold","Bone Head Imperial Red","Fat Head's Brewery & Saloon","North Olmsted","OH","Imperial Red Ale",2019
"389","Bronze","Gifted Gunslinger","Big Sexy Brewing Co.","Sacramento","CA","Imperial Red Ale",2019
"390","Gold","The Russian","2SP Brewing Co.","Aston","PA","Imperial Stout",2019
"391","Bronze","Rescue Buoy Imperial Stout","Rip Current Brewing","San Marcos","CA","Imperial Stout",2019
"392","Silver","Go Kart Mozart","MotoSonora Brewing Co.","Tucson","AZ","India Pale Lager or Malt Liquor",2019
"393","Bronze","Yeah Buoy IPL","Logboat Brewing Co.","Columbia","MO","India Pale Lager or Malt Liquor",2019
"394","Gold","Dark Horse","Snake River Brewing Co.","Jackson","WY","International-Style Dark Lager",2019
"395","Silver","El Corn","The Post Brewing Co.","Lafayette","CO","International-Style Dark Lager",2019
"396","Bronze","Schwarzbier","HofbrC3=A4uhaus Clevelan=d","Cleveland","OH","International-Style Dark Lager",2019
"397","Gold","Torcido","Barebottle Brewing Co.","San Francisco","CA","International-Style Pilsener",2019
"398","Silver","Upslope Craft Lager","Upslope Brewing Co. - Flatiron Park","Boulder","CO","International-Style Pilsener",2019
"399","Silver","Balefire Irish Red","Mirror Image Brewing Co.","Frederick","CO","Irish-Style Red Ale",2019
"400","Bronze","Red Molly Irish Red Ale","Pale Fire Brewing Co.","Harrisonburg","VA","Irish-Style Red Ale",2019
"401","Gold","Extra Extra Juicy Bits","WeldWerks Brewing Co.","Greeley","CO","Juicy or Hazy Imperial India Pale Ale",2019
"402","Silver","Juice Jockey","Phantom Ales","Anaheim","CA","Juicy or Hazy Imperial India Pale Ale",2019
"403","Bronze","Devil's Gulch","Pond Farm Brewing Co.","San Rafael","CA","Juicy or Hazy India Pale Ale",2019
"404","Gold","Gulp","Tribus Beer Co.","Milford","CT","Juicy or Hazy Pale Ale",2019
"405","Silver","Itsy Bits","WeldWerks Brewing Co.","Greeley","CO","Juicy or Hazy Pale Ale",2019
"406","Silver","Kaaterskill","West Kill Brewing","West Kill","NY","Juicy or Hazy Strong Pale Ale",2019
"407","Bronze","Goofy Boots","Penrose Brewing Co.","Geneva","IL","Juicy or Hazy Strong Pale Ale",2019
"408","Gold","German Pilsner","Port City Brewing Co.","Alexandria","VA","Kellerbier or Zwickelbier",2019
"409","Bronze","Stand By","Rockwell Beer Co.","St. Louis","MO","Kellerbier or Zwickelbier",2019
"410","Gold","Altitude Banquet","Altitude Chophouse and Brewery","Laramie","WY","Light Lager",2019
"411","Silver","Sif's Light Lager","Odin Brewing Co.","Tukwila","WA","Light Lager",2019
"412","Bronze","Lightner Creek Lager","Carver Brewing Co.","Durango","CO","Light Lager",2019
"413","Gold","Standard Issue","Central Standard Brewing","Wichita","KS","Mixed-Culture Brett Beer",2019
"414","Silver","Florida Sunshine","Crooked Can Brewing Co.","Winter Garden","FL","Munich-Style Helles",2019
"415","Bronze","Wayfinder Hell","Wayfinder Beer","Portland","OR","Munich-Style Helles",2019
"416","Gold","Enough Said N/A","Two Roots Brewing Co.","San Diego","CA","Non-Alcohol Beer or Alcohol-Free Beer",2019
"417","Silver","Bravus Oatmeal Stout","Bravus Brewing Co.","Newport Beach","CA","Non-Alcohol Beer or Alcohol-Free Beer",2019
"418","Gold","80 Chain Stout","MAP Brewing Co.","Bozeman","MT","Oatmeal Stout",2019
"419","Silver","Yonder Mountain Stout","Vine Street Pub & Brewery","Denver","CO","Oatmeal Stout",2019
"420","Gold","Private Stock Ale","AleSmith Brewing Co.","San Diego","CA","Old Ale or Strong Ale",2019
"421","Silver","Old Scrooge","Silver City Brewery","Bremerton","WA","Old Ale or Strong Ale",2019
"422","Bronze","Last Will and Testament","Monday Night Brewing - Garage","Atlanta","GA","Old Ale or Strong Ale",2019
"423","Gold","Chronic Amber Ale","Pizza Port - Bressi Ranch","Carlsbad","CA","Ordinary or Special Bitter",2019
"424","Silver","Cousin Jack","Dostal Alley Brewpub & Casino","Central City","CO","Ordinary or Special Bitter",2019
"425","Bronze","Milford Pub Ale","River's Edge Brewing Co.","Milford","MI","Ordinary or Special Bitter",2019
"426","Gold","Very, Very Far","Off Color Brewing","Chicago","IL","Other Belgian-Style Ale",2019
"427","Bronze","Pentuple","Hoppin' Frog Brewing","Akron","OH","Other Belgian-Style Ale",2019
"428","Silver","False Hope","Spilled Grain Brewhouse","Annandale","MN","Other Strong Beer",2019
"429","Bronze","Double Brown Ale","Tumbleroot Brewery and Distillery","Santa Fe","NM","Other Strong Beer",2019
"430","Silver","Leicht","Precarious Beer Project E2=80=93 Beer Hall","Williamsburg","VA","Proam",2019
"431","Bronze","Chess with Checkers","New Belgium Brewing Co.","Fort Collins","CO","Proam",2019
"432","Gold","Whole Hog Pumpkin Ale","Stevens Point Brewery","Stevens Point","WI","Pumpkin/Squash Beer or Pumpkin Spice Beer",2019
"433","Bronze","Pumpkinator","Saint Arnold Brewing Co.","Houston","TX","Pumpkin/Squash Beer or Pumpkin Spice Beer",2019
